domain,category,subcategory,local_http_outcome,local_status_code,local_blockpage_flag,category_remote,subcategory_remote,remote_http_outcome,remote_status_code,remote_blockpage_flag,vantage_diff_flag
accessnow.org,Civil Society & NGOs,Digital Rights (Global),success,200.0,False,Civil Society & NGOs,Digital Rights (Global),success,200.0,False,both_success
adrindia.org,Civil Society & NGOs,Elections/Politics,success,200.0,False,Civil Society & NGOs,Elections/Politics,success,200.0,False,both_success
aljazeera.com,News & Politics,International Media,success,200.0,False,News & Politics,International Media,success,200.0,False,both_success
altnews.in,News & Politics,Fact-checking,success,200.0,False,News & Politics,Fact-checking,success,200.0,False,both_success
amnesty.org,Civil Society & NGOs,Human Rights (Global),success,200.0,False,Civil Society & NGOs,Human Rights (Global),success,200.0,False,both_success
anandabazar.com,News & Politics,Regional Media,access_denied,403.0,False,News & Politics,Regional Media,access_denied,403.0,False,both_bad
apnews.com,News & Politics,International Media,success,200.0,False,News & Politics,International Media,success,200.0,False,both_success
article-14.com,News & Politics,Independent Media,success,200.0,False,News & Politics,Independent Media,success,200.0,False,both_success
bbc.com,News & Politics,International Media,success,200.0,False,News & Politics,International Media,success,200.0,False,both_success
caravanmagazine.in,News & Politics,Independent Media,success,200.0,False,News & Politics,Independent Media,success,200.0,False,both_success
cis-india.org,Civil Society & NGOs,Digital Rights (India),success,200.0,False,Civil Society & NGOs,Digital Rights (India),success,200.0,False,both_success
citizenlab.ca,Civil Society & NGOs,Research Lab,success,200.0,False,Civil Society & NGOs,Research Lab,success,200.0,False,both_success
dainikbhaskar.com,News & Politics,Regional Media,success,200.0,False,News & Politics,Regional Media,success,200.0,False,both_success
data.gov.in,Government & Public Services,Open Data,success,200.0,False,Government & Public Services,Open Data,success,200.0,False,both_success
deccanherald.com,News & Politics,Mainstream Media,success,200.0,False,News & Politics,Mainstream Media,success,200.0,False,both_success
delhi.gov.in,Government & Public Services,State Government,success,200.0,False,Government & Public Services,State Government,success,200.0,False,both_success
digilocker.gov.in,Government & Public Services,e-Governance,success,200.0,False,Government & Public Services,e-Governance,success,200.0,False,both_success
dinakaran.com,News & Politics,Regional Media,success,200.0,False,News & Politics,Regional Media,success,200.0,False,both_success
disneyplus.com,Social & Streaming,OTT Streaming,success,200.0,False,Social & Streaming,OTT Streaming,success,200.0,False,both_success
eci.gov.in,Government & Public Services,Election Commission,access_denied,403.0,False,Government & Public Services,Election Commission,access_denied,403.0,False,both_bad
economictimes.indiatimes.com,News & Politics,Business Media,success,200.0,False,News & Politics,Business Media,success,200.0,False,both_success
eenadu.net,News & Politics,Regional Media,success,200.0,False,News & Politics,Regional Media,success,200.0,False,both_success
epw.in,Civil Society & NGOs,Academic Journal,success,200.0,False,Civil Society & NGOs,Academic Journal,success,200.0,False,both_success
facebook.com,Social & Streaming,Social Network,client_error,400.0,False,Social & Streaming,Social Network,client_error,400.0,False,both_bad
